dataset,model,variant,seed,f1,f1_std,f1_ci_lo,f1_ci_hi,precision,recall,accuracy,auc,ece_pre,ece_post_temp,temperature_T,train_s,ms_per_sample,peak_ram_mb,peak_vram_mb,trainable_params,git_commit,n_seeds,f1_min,f1_max,precision_std,precision_min,precision_max,recall_std,recall_min,recall_max,accuracy_std,accuracy_min,accuracy_max,train_s_std,train_s_min,train_s_max,ms_per_sample_std,ms_per_sample_min,ms_per_sample_max,peak_ram_mb_std,peak_ram_mb_min,peak_ram_mb_max,peak_vram_mb_std,peak_vram_mb_min,peak_vram_mb_max,auc_std,auc_min,auc_max,ece_pre_std,ece_pre_min,ece_pre_max,ece_post_temp_std,ece_post_temp_min,ece_post_temp_max
liar,lr,tfidf,mean,0.6314587256162396,0.00824207753099282,0.6242342261272712,0.638683225105208,0.6296347771358227,0.6350277472803011,0.6886772585669781,0.6967008146839385,0.34740560708235674,,,0.2238,0.1162,435.78000000000003,0.0,0,,5.0,0.6199083626718511,0.6416862297133453,0.008947736328659072,0.6162181294489651,0.6396136912430609,0.00619008957419726,0.6298444759176189,0.6446020869208866,0.009898760747443374,0.6783956386292834,0.7023790238836969,0.005890670590009262,0.214,0.229,0.003114482300479485,0.111,0.119,1.8430952227164006,434.0,438.1,0.0,0.0,0.0,0.004272195824581517,0.6934245074424107,0.7041507383307513,0.0125598829188053,0.3281466438992746,0.3622347955337918,,,
liar,mbert-base,transfer_pl_claims,mean,0.36361214166922684,0.13030312263597985,0.21616027752616854,0.5110640058122852,0.6226935632089835,0.604054121354478,0.3684771386430678,0.8398429137707369,0.2815309838724259,0.2874974164869279,,321.3856666666667,711.0303333333333,810.5333333333333,2409.7999999999997,177854978,,3.0,0.27781562639531987,0.5135530181261059,0.028356113968411065,0.6018191994180146,0.6549771384368062,0.06943514693123547,0.5611992952901506,0.6841657532330184,0.12859771864054007,0.28325221238938053,0.5163982300884955,17.73722372112764,309.105,341.721,39.24240488723051,683.861,756.021,73.31523261460295,745.9,890.2,4.503332099679186,2404.6,2412.4,0.025967656216878358,0.8098620773957873,0.8552590749462402,0.03840433385629174,0.23858832275346578,0.3125855681049613,0.011962728302742368,0.27643060685932047,0.30018981298566566
liar,qwen25-14b,lora_basic,mean,0.4158269885557797,0.003982061021686653,0.40823831993988896,0.42382614188279194,0.5046385193500447,0.5001415539234295,0.7069735202492211,,,,,1168.997,606.956,2090.1,0.0,0,3bda4457c1cc03871c6496ea2af2c4e60872accf,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liar,qwen25-14b,zs_short,mean,0.29289614722627694,0.005154061017045094,0.2870637781356799,0.29872851631687397,0.5943068771485618,0.5209452917914952,0.3377513639906469,,,,,878.8333333333334,684.9830000000001,3120.1,0.0,0,,3.0,0.28713532895207655,0.29707041670211276,0.025758807272466783,0.5749681281775854,0.6235472951238146,0.005694568112385251,0.5175903920737677,0.5275203524862245,0.007663090661029562,0.32904053000779426,0.3434536243180047,0.6545229815165493,878.182,879.491,0.5105183640183563,684.475,685.496,1374.3360979032748,1549.6,4102.7,0.0,0.0,0.0,,,,,,,,,
liar,qwen25-7b,lora_basic,mean,0.28102217197701745,0.0087628114871851,0.2642898100242556,0.2985709990089361,0.5851909421003629,0.5174611205048718,0.325367601246106,,,,,644.139,334.444,4720.9,0.0,0,3bda4457c1cc03871c6496ea2af2c4e60872accf,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liar,qwen25-7b,lora_big,mean,0.6432823100683431,0.006996512002770638,0.6353650114154945,0.6511996087211918,0.6427414073329237,0.6642223447460719,0.6736135340948425,,,,,1863.1656666666665,967.3756666666667,5002.066666666667,3363.4,26913450,,3.0,0.6361424977949112,0.6501261268223525,0.01008648778768852,0.6336048206175215,0.6535650442691296,0.016804015909844497,0.6518040326384406,0.6833432820091708,0.0012998290018555248,0.6721292834890966,0.6745488058151609,919.0986896423765,1329.091,2924.442,477.2061393782915,690.078,1518.402,55.83702475359242,4937.6,5035.2,5825.579686177162,0.0,10090.2,,,,,,,,,
liar,qwen25-7b,lora_natural_distribution,mean,0.5364428764052923,0.016492177572830103,0.517780220609347,0.5551055322012376,0.7080024831894797,0.5591442063078063,0.7228137763932158,,,,,1340.3769999999997,695.938,5016.133333333334,0.0,0,,3.0,0.5224777211212063,0.5546380696883124,0.035988366701411076,0.6679415072874912,0.7375985968476853,0.006451744554817857,0.5546927393703739,0.5665432693986644,0.007101744767916225,0.7167082035306334,0.7306074766355141,0.32691436187479844,1340.06,1340.713,0.1692217480112826,695.774,696.112,15.532653776265521,4998.7,5028.5,0.0,0.0,0.0,,,,,,,,,
liar,qwen25-7b,zs_short,mean,0.3236698070697024,0.01347772880189992,0.30841832118009266,0.3389212929593121,0.5633443368953602,0.5237089101798156,0.35488048843855546,,,,,472.09100000000007,367.95866666666666,4740.633333333333,0.0,0,,3.0,0.31360874517236537,0.3389828692622343,0.018750416348102875,0.5429074814148673,0.5797538321347775,0.007130961676149642,0.5164619573841561,0.5307179250591616,0.014517904704626338,0.3429392049883087,0.37104053000779424,2.1240171844879256,469.644,473.458,1.655015810599193,366.052,369.024,0.3511884584283211,4740.3,4741.0,0.0,0.0,0.0,,,,,,,,,
liar,rf,tfidf,mean,0.5683406642593717,0.011971581895956396,0.5578471100596865,0.5788342184590569,0.718256196281627,0.5774397001269369,0.7385701973001039,0.6877571050684507,0.4677882095926025,,,1.0850000000000002,0.5631999999999999,564.8599999999999,0.0,0,,5.0,0.5480788199515902,0.5782120539241322,0.025306002636294848,0.6871424141073033,0.7510364216885916,0.006604309874292604,0.5659706825427665,0.581876782090442,0.014558267525555687,0.7148946002076842,0.7505321910695744,0.02236067977499796,1.051,1.112,0.011755849607748439,0.545,0.577,3.8746612755181284,559.2,569.8,0.0,0.0,0.0,0.009407255772871392,0.6785252663202707,0.7024319379600061,0.014200055833461449,0.44302186449198694,0.47689721331809576,,,
liar,svm,tfidf,mean,0.6111686061333005,0.00875590761763765,0.603493714715304,0.618843497551297,0.6133909731749473,0.6100314186112163,0.6830444444444443,0.6677238924950586,0.3311972036711814,,,0.2464,0.1278,436.73999999999995,0.0,0,,5.0,0.5993891581147507,0.623879635812778,0.010609721737183485,0.5979030127370865,0.627803909574478,0.0073190957704547255,0.6016876052697815,0.6213379196944069,0.009895454548695582,0.6709065420560747,0.6933146417445484,0.0059833101206606416,0.239,0.255,0.003033150177620623,0.124,0.132,2.556951309665483,434.5,440.6,0.0,0.0,0.0,0.00560092537769646,0.6618815759305033,0.6743203135144062,0.012729319589277312,0.3122263762300647,0.3450590749510932,,,
